,restaurant.name,restaurant.cuisines,restaurant.average_cost_for_two,restaurant.user_rating.aggregate_rating,restaurant.timings,restaurant.all_reviews_count,restaurant.user_rating.votes,restaurant.location.latitude,restaurant.location.longitude,coordinate,Arts_Entertainment,College_University,Event,Nightlife_Spot,Outdoors_Recreation,Professional_n_Other_Places,Shop_Service,Travel_Transport,Residence
87,Taco Casa,"Fast Food, Mexican",10,3.3,"10:30 AM to 11 PM (Mon, Tue, Wed, Thu, Sun), 10:30 AM to 12 Midnight (Fri-Sat)",10,40.0,33.168,-87.5221,"(33.168, -87.5221)",0,0,0,0,0,4,0,5,0
88,Brown Bag,"American, BBQ, Southern",10,3.4,"(Sun, Mon), Lunch, Dinner (Tue-Sat)",10,31.0,33.2848,-87.5882,"(33.2848, -87.5882)",0,0,0,0,0,0,0,0,0
89,Pepito's Grill,Mexican,10,3.3,"Lunch, Dinner (Sun),Lunch, Dinner, Late (Mon-Sat)",6,35.0,33.231,-87.5346,"(33.231, -87.5346)",1,0,0,0,1,3,0,1,0
90,Los Tarascos,"American, Mexican",10,3.4,"Lunch, Dinner (Sun, Mon, Tue, Wed, Thu, Fri, Sat)",5,41.0,33.23839,-87.58871,"(33.23839, -87.58871)",0,0,0,0,0,0,0,1,0
91,Grand Buffet,"Asian, Chinese",10,3.3,"Lunch, Dinner (Sun, Mon, Tue, Wed, Thu, Fri, Sat)",16,28.0,33.1703,-87.5252,"(33.1703, -87.5252)",0,0,0,0,1,5,1,6,0
92,Chicken Salad Chick of Northport,"American, Sandwich",25,3.4,"10 AM to 7 PM (Mon-Sat),Closed (Sun)",10,35.0,33.2363421,-87.5535971,"(33.2363421, -87.5535971)",0,0,0,0,3,0,0,0,1
93,Catfish Heaven,"Seafood, American",20,3.4,"11 AM to 7 PM (Mon-Thu), 11 AM to 8 PM (Fri-Sat), Sun Closed",7,25.0,33.19361,-87.56213,"(33.19361, -87.56213)",1,0,0,1,1,0,0,0,1
94,301 Bistro,American,60,3.3,"5 PM to 10 PM (Mon, Tue, Wed, Thu, Sun), 5 PM to 11 PM (Fri-Sat)",9,15.0,33.21149,-87.568621,"(33.21149, -87.568621)",10,0,2,17,3,5,2,7,0
95,Chick-fil-A,Fast Food,10,3.4,"(Sun),Breakfast, Lunch, Dinner (Mon-Sat)",2,31.0,33.1953,-87.5257,"(33.1953, -87.5257)",0,1,0,1,3,3,16,1,3
96,Taco Casa,Mexican,10,3.4,"10:30 AM to 11 PM (Mon, Tue, Wed, Thu, Sun), 10:30 AM to 12 Midnight (Fri-Sat)",5,36.0,33.1272,-87.5496,"(33.1272, -87.5496)",0,0,0,0,0,1,1,0,0
97,Sharks Fish and Chicken,Seafood,10,3.3,"Lunch, Dinner (Sun, Mon, Tue, Wed, Thu, Fri, Sat)",10,28.0,33.19908,-87.54509,"(33.19908, -87.54509)",1,1,0,1,0,2,1,1,3
98,Jalapeños Mexican Grill,Mexican,10,3.3,"Lunch, Dinner (Sun, Mon, Tue, Wed, Thu, Fri, Sat)",6,32.0,33.262455,-87.511655,"(33.262455, -87.511655)",0,0,0,0,0,0,0,0,1
99,Wright's Restaurant,New American,25,3.3,"5 AM to 7:30 PM (Mon-Fri),5 AM to 1 PM (Sat),Closed (Sun)",6,17.0,33.204249,-87.488359,"(33.204249, -87.488359)",0,0,0,0,0,0,0,0,1
100,Sa Za,"Italian, Pizza",40,4.2,"11 AM to 2 PM, 5 PM to 10 PM (Mon-Thu), 11 AM to 2 PM, 5 PM to 11 PM (Fri), 5 PM to 11 PM (Sat), 12 Noon to 9 PM (Sun)",101,262.0,32.37939,-86.31101,"(32.37939, -86.31101)",12,3,0,7,1,4,0,4,1
101,Sushi Cafe,"Japanese, Sushi",25,4.9,"11 AM to 2:30 PM, 5 PM to 9:30 PM (Mon-Fri),5 PM to 9:30 PM (Sat),Closed (Sun)",45,139.0,32.355817,-86.264911,"(32.355817, -86.264911)",0,0,0,1,1,1,2,0,0
102,Lek's Railroad Thai,"Asian, Sushi, Thai",25,4.5,"11 AM to 9 PM (Mon-Thu),11 AM to 10 PM (Fri-Sat),Closed (Sun)",51,230.0,32.3805,-86.314,"(32.3805, -86.314)",10,2,0,7,2,4,0,4,1
103,Wishbone Cafe,"Sandwich, Seafood, Cajun",25,4.5,"(Sun),Lunch, Dinner (Mon-Sat)",59,150.0,32.382271,-86.171836,"(32.382271, -86.171836)",0,0,0,0,0,0,1,0,0
104,Dreamland BBQ Montgomery,"BBQ, Burger, Sandwich",25,4.4,"10 AM to 9 PM (Mon-Thu), 10 AM to 10 PM (Fri-Sat), 11 AM to 9 PM (Sun)",59,198.0,32.38086,-86.31083,"(32.38086, -86.31083)",11,2,0,7,1,4,0,4,1
105,Tomatinos Pizza & Bake Shop,"Pizza, Vegetarian",25,4.4,"Dinner (Sun),Lunch, Dinner (Mon-Sat)",56,227.0,32.3519,-86.2915,"(32.3519, -86.2915)",4,7,0,5,0,0,0,0,0
